Variable,Tipo,Descripción,Valores Faltantes,Función
Header_Length,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Header_Length),0,Predictora (Feature)
Protocol Type,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Protocol Type),0,Predictora (Feature)
Time_To_Live,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Time_To_Live),0,Predictora (Feature)
Rate,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Rate),0,Predictora (Feature)
fin_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (fin_flag_number),0,Predictora (Feature)
syn_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (syn_flag_number),0,Predictora (Feature)
rst_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (rst_flag_number),0,Predictora (Feature)
psh_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (psh_flag_number),0,Predictora (Feature)
ack_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (ack_flag_number),0,Predictora (Feature)
ece_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (ece_flag_number),0,Predictora (Feature)
cwr_flag_number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (cwr_flag_number),0,Predictora (Feature)
ack_count,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (ack_count),0,Predictora (Feature)
syn_count,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (syn_count),0,Predictora (Feature)
fin_count,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (fin_count),0,Predictora (Feature)
rst_count,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (rst_count),0,Predictora (Feature)
HTTP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (HTTP),0,Predictora (Feature)
HTTPS,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (HTTPS),0,Predictora (Feature)
DNS,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (DNS),0,Predictora (Feature)
Telnet,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Telnet),0,Predictora (Feature)
SMTP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (SMTP),0,Predictora (Feature)
SSH,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (SSH),0,Predictora (Feature)
IRC,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (IRC),0,Predictora (Feature)
TCP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (TCP),0,Predictora (Feature)
UDP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (UDP),0,Predictora (Feature)
DHCP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (DHCP),0,Predictora (Feature)
ARP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (ARP),0,Predictora (Feature)
ICMP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (ICMP),0,Predictora (Feature)
IGMP,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (IGMP),0,Predictora (Feature)
IPv,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (IPv),0,Predictora (Feature)
LLC,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (LLC),0,Predictora (Feature)
Tot sum,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Tot sum),0,Predictora (Feature)
Min,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Min),0,Predictora (Feature)
Max,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Max),0,Predictora (Feature)
AVG,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (AVG),0,Predictora (Feature)
Std,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Std),0,Predictora (Feature)
Tot size,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Tot size),0,Predictora (Feature)
IAT,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (IAT),0,Predictora (Feature)
Number,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Number),0,Predictora (Feature)
Variance,"Numérica Escalada [0, 1]",Métrica del flujo de tráfico de red IoT (Variance),0,Predictora (Feature)
target,Categórica Entera (0-7),Categoría del tráfico (Benign o 7 tipos de ataques botnet),0,Objetivo (Target)
