Feature,ANOVA_F_Score,ANOVA_p_value,RF_Importance
Tot sum,6687.479397760995,0.0,0.13372663778367863
AVG,334.7411212589864,0.0,0.08053539525484472
Tot size,334.7411212589864,0.0,0.07362977507474726
Number,540186.2236386412,0.0,0.0718388375714064
IAT,0.9303160633148675,0.4814222077938405,0.07120607296057085
Max,307.6117908712902,0.0,0.06625832456009452
Rate,66.85918412889647,1.0891260117480972e-94,0.0607838825233774
Min,152.52221696349827,8.310020132457856e-215,0.05224951099395927
ack_flag_number,1886.695443250247,0.0,0.047505799709953236
Header_Length,1391.189105632888,0.0,0.037857738821869644
Protocol Type,2939.5957114644557,0.0,0.03270418611815775
HTTPS,1071.3026173189824,0.0,0.030660396170162238
Variance,121.18759640068937,1.432998881639751e-171,0.025816460498774934
TCP,661.0193061907071,0.0,0.023236368891245508
Std,388.3283296739587,0.0,0.023145675643361875
Time_To_Live,417.78632178283715,0.0,0.021467663211343368
ack_count,110.71813607710939,6.082960123882346e-157,0.020154631149012236
ICMP,343.4104757934359,0.0,0.017436894591854747
SSH,380.73056544109085,0.0,0.01740519459918756
syn_flag_number,242.30022491994725,0.0,0.014505084009517086
psh_flag_number,291.1039941677899,0.0,0.01419796363839428
syn_count,327.4916300063528,0.0,0.013327357575877273
rst_flag_number,118.5772590107103,6.235474164670661e-168,0.009764419128322172
UDP,81.29422934117223,2.391567386605202e-115,0.008049142340132837
fin_flag_number,107.49814764079278,2.0015195234904726e-152,0.007953088131168263
rst_count,139.88333972948485,1.8250094536354762e-197,0.006523513243612833
fin_count,138.34167365984678,2.43001101828319e-195,0.0057444946605895416
HTTP,56.90196537225263,2.379741423005655e-80,0.005730146153232717
DNS,145.1262431202959,1.1259473902717415e-204,0.0022605828984939963
IPv,128.5910365636945,7.365545165445335e-182,0.001348678676022788
LLC,128.5910365636945,7.365545165445335e-182,0.0012591435260233947
ARP,128.573676649217,7.785343703985655e-182,0.0012514457322059462
DHCP,9.638137292908878,5.2846532486345845e-12,0.00025349381728989725
IGMP,5.362437710323847,3.810408280924631e-06,7.799146668654136e-05
ece_flag_number,2.979063061039905,0.004019161908262987,5.60175621983049e-05
cwr_flag_number,1.7712745401023935,0.08831417350900984,5.07576061431682e-05
IRC,1.9100490107774986,0.06370456910752118,1.899089242494983e-05
SMTP,0.8476734268771527,0.5475428082320253,8.242814061883141e-06
Telnet,0.8476734027100885,0.5475428280850636,0.0
